n,macierz,lista
100,0.010554874999996855,0.0007074580000221431
200,0.08515891700000111,0.0030349170000079084
300,0.28950329200000624,0.006395499999996446
400,0.7325707089999867,0.012570124999996324
500,1.4800248329999874,0.022755291000009947
600,2.6242059999999867,0.0379406250000045
700,4.264357708999995,0.057140000000003965
800,6.452093332999993,0.08342225000001235
900,9.446510500000016,0.11935099999999466
1000,13.128755333000015,0.15658912500001065
1100,17.593856499999987,0.20194512500000883
1200,23.57166374999997,0.2527883329999554
1300,31.34604912499998,0.3058884579999699
1400,40.918710541999985,0.3614849169999843
1500,53.23429933299997,0.4249900000000366
